##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR39441559_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1201663
Total Bases	181.4 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.05142207091339	37.0	37.0	37.0	25.0	37.0
2	35.282595037044494	37.0	37.0	37.0	37.0	37.0
3	35.553428040973216	37.0	37.0	37.0	37.0	37.0
4	35.32375466332907	37.0	37.0	37.0	37.0	37.0
5	35.75887915330671	37.0	37.0	37.0	37.0	37.0
6	35.99999916781993	37.0	37.0	37.0	37.0	37.0
7	35.923890475116565	37.0	37.0	37.0	37.0	37.0
8	35.96634913449112	37.0	37.0	37.0	37.0	37.0
9	35.81215781795728	37.0	37.0	37.0	37.0	37.0
10-14	35.92491688601546	37.0	37.0	37.0	37.0	37.0
15-19	35.92622806893446	37.0	37.0	37.0	37.0	37.0
20-24	35.88837519337784	37.0	37.0	37.0	37.0	37.0
25-29	35.785888722545344	37.0	37.0	37.0	37.0	37.0
30-34	35.737084690133585	37.0	37.0	37.0	37.0	37.0
35-39	35.71523130861148	37.0	37.0	37.0	37.0	37.0
40-44	35.691820085997485	37.0	37.0	37.0	37.0	37.0
45-49	35.67237802944753	37.0	37.0	37.0	37.0	37.0
50-54	35.63579755721862	37.0	37.0	37.0	37.0	37.0
55-59	35.61292592016231	37.0	37.0	37.0	37.0	37.0
60-64	35.58445537559199	37.0	37.0	37.0	37.0	37.0
65-69	35.558767141869225	37.0	37.0	37.0	37.0	37.0
70-74	35.542605872029014	37.0	37.0	37.0	37.0	37.0
75-79	35.516240576600936	37.0	37.0	37.0	37.0	37.0
80-84	35.48782495591526	37.0	37.0	37.0	37.0	37.0
85-89	35.44467608639028	37.0	37.0	37.0	37.0	37.0
90-94	35.406062764685274	37.0	37.0	37.0	37.0	37.0
95-99	35.376637043830094	37.0	37.0	37.0	37.0	37.0
100-104	35.33246143053419	37.0	37.0	37.0	37.0	37.0
105-109	35.328225134667534	37.0	37.0	37.0	37.0	37.0
110-114	35.30696875912797	37.0	37.0	37.0	37.0	37.0
115-119	35.25711734487955	37.0	37.0	37.0	29.8	37.0
120-124	35.209296782875064	37.0	37.0	37.0	25.0	37.0
125-129	35.171628651294085	37.0	37.0	37.0	25.0	37.0
130-134	35.188078354746715	37.0	37.0	37.0	25.0	37.0
135-139	35.10526861524404	37.0	37.0	37.0	25.0	37.0
140-144	35.060683402917455	37.0	37.0	37.0	25.0	37.0
145-149	35.018304799265685	37.0	37.0	37.0	25.0	37.0
150-151	34.902357399703575	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2103	20-24	-0.1053637587129046
2103	25-29	-0.10628208711452913
2103	30-34	-0.002312785217043256
2103	35-39	-0.1930753439434696
2103	40-44	-0.2639899474107139
2103	45-49	-0.20122612093312853
2103	50-54	-0.1256295547023356
2103	55-59	-0.16631948850370293
2103	60-64	-0.37084284059458383
2103	65-69	-0.10613819993326246
2103	70-74	-0.08981168205949075
2103	75-79	-0.15384839240336845
2103	80-84	-0.20056645181919208
2103	85-89	-0.10819199962724468
2103	90-94	-0.3748840588730289
2103	95-99	-0.20620308128246023
2103	100-104	-0.2856343206364187
2103	105-109	-0.27389790561457517
2103	110-114	-0.33217128388572803
2103	115-119	-0.41573512664108137
2103	120-124	-0.27304895352522607
2103	125-129	-0.48752028062868646
2103	130-134	-0.2806211073037801
2103	135-139	-0.36335240823503767
2103	140-144	-0.3004019128386375
2103	145-149	-0.37370216285845004
2103	150-151	-0.45286748716054603
2104	1	0.033324579992616066
2104	2	0.05180568709248945
2104	3	-0.10968662189414147
2104	4	0.15101931533654067
2104	5	-0.3314782428766776
2104	6	0.2162834089242338
2104	7	-0.02102993849143786
2104	8	-0.13426242301603253
2104	9	0.15676310741129384
2104	10-14	-0.07605243151392926
2104	15-19	-0.004795442184168053
2104	20-24	0.08627100370100749
2104	25-29	-0.009425757808990909
2104	30-34	-0.004723711992468793
2104	35-39	-0.13463441758960926
2104	40-44	0.023439202154115435
2104	45-49	-0.0834490329770432
2104	50-54	-0.04633761833455452
2104	55-59	-0.017285813708632247
2104	60-64	-0.17935140779662362
2104	65-69	-0.0030221221060529047
2104	70-74	-0.07282482316250594
2104	75-79	-0.11631366179788927
2104	80-84	-0.19108945162373914
2104	85-89	-0.19532644204054606
2104	90-94	-0.10444636701637933
2104	95-99	-0.03854575403488525
2104	100-104	-0.1986554713356412
2104	105-109	-0.056920627574278626
2104	110-114	-0.15103177511540622
2104	115-119	-0.08304141129983122
2104	120-124	-0.01929383255733086
2104	125-129	-0.34995144217342755
2104	130-134	-0.3164397148603868
2104	135-139	-0.3051069313574857
2104	140-144	-0.2064006788242878
2104	145-149	-0.11889506382687642
2104	150-151	-0.24259163513495707
2105	1	-0.04294751506836292
2105	2	-0.3659679663149831
2105	3	-0.23628055340083876
2105	4	-0.3230174860417563
2105	5	-0.2354707894329735
2105	6	-0.03827979191575537
2105	7	0.07853047100431354
2105	8	-0.25427913411005676
2105	9	-0.47940088313880125
2105	10-14	0.04807772276791411
2105	15-19	0.018061045750201288
2105	20-24	0.015594167421667748
2105	25-29	-0.011986400224849092
2105	30-34	0.09516759195349067
2105	35-39	0.024757623936721984
2105	40-44	-0.01118492763045964
2105	45-49	-0.026058995303131383
2105	50-54	0.07832344592551266
2105	55-59	0.06876744735783547
2105	60-64	0.03397236225575284
2105	65-69	-0.23973107178421316
2105	70-74	0.04932920727978285
